sku,batch_no,quantity,expiry_date
PARA-500,PARA001,100,31/12/2026
PARA-500,PARA002,50,2027-03-15
PARA-500,PARA003,10 units,30/06/2027
PARA-500,PARA004,75,2027-09-20
PARA-500,PARA005,120 units,15/11/2027
PARA-500,PARA006,90,2028-01-31
PARA-500,PARA007,60 units,28/02/2028
PARA-500,PARA008,45,15/04/2028
PARA-500,PARA009,80,2028-06-30
PARA-500,PARA010,55 units,31/08/2028
PARA-500,PARA011,70,15/10/2028
PARA-500,PARA012,100 units,31/12/2028
IBU-200,IBU001,75,15/01/2027
IBU-200,IBU002,40,2027-05-20
IBU-200,IBU003,90 units,31/07/2027
IBU-200,IBU004,60,2027-10-10
IBU-200,IBU005,110 units,25/12/2027
IBU-200,IBU006,85,2028-02-28
IBU-200,IBU007,50 units,15/05/2028
IBU-200,IBU008,95,2028-08-31
AMOX-500,AMOX001,100,10/01/2027
AMOX-500,AMOX002,75 units,2027-04-15
AMOX-500,AMOX003,60,30/06/2027
AMOX-500,AMOX004,125 units,2027-09-30
AMOX-500,AMOX005,80,2027-12-31
AMOX-500,AMOX006,90 units,2028-03-15
AMOX-500,AMOX007,55,2028-07-20
AMOX-500,AMOX008,100 units,2028-11-30
CET-10,CET001,50,28/02/2027
CET-10,CET002,80 units,2027-06-15
CET-10,CET003,45,2027-09-30
CET-10,CET004,70 units,2027-12-15
CET-10,CET005,100,2028-04-30
CET-10,CET006,65 units,2028-08-20
AZI-250,AZI001,60,15/01/2027
AZI-250,AZI002,90 units,2027-05-31
AZI-250,AZI003,45,15/08/2027
AZI-250,AZI004,100 units,30/11/2027
AZI-250,AZI005,75,31/03/2028
AZI-250,AZI006,50 units,15/07/2028
OMEP-20,OMEP001,100,31/01/2027
OMEP-20,OMEP002,75 units,15/05/2027
OMEP-20,OMEP003,60,01/09/2027
OMEP-20,OMEP004,90 units,20/12/2027
OMEP-20,OMEP005,110,15/04/2028
OMEP-20,OMEP006,80 units,31/08/2028
MET-500,MET001,120,15/02/2027
MET-500,MET002,80 units,30/05/2027
MET-500,MET003,65,15/09/2027
MET-500,MET004,100 units,31/12/2027
MET-500,MET005,90,20/03/2028
MET-500,MET006,70 units,31/07/2028
VITC-500,VITC001,150,28/02/2027
VITC-500,VITC002,100 units,30/06/2027
VITC-500,VITC003,75,15/10/2027
VITC-500,VITC004,120 units,31/01/2028
VITC-500,VITC005,90,20/05/2028
VITC-500,VITC006,60 units,30/09/2028
ORS-21,ORS001,200,31/01/2027
ORS-21,ORS002,150 units,30/04/2027
ORS-21,ORS003,100,31/07/2027
ORS-21,ORS004,175 units,15/11/2027
ORS-21,ORS005,120,31/03/2028
ORS-21,ORS006,80 units,15/08/2028
DIC-50,DIC001,80,15/02/2027
DIC-50,DIC002,65 units,31/05/2027
DIC-50,DIC003,100,20/09/2027
DIC-50,DIC004,75 units,15/12/2027
DIC-50,DIC005,90,30/04/2028
DIC-50,DIC006,50 units,31/08/2028
ANT-200,ANT001,70,28/02/2027
ANT-200,ANT002,90 units,15/06/2027
ANT-200,ANT003,55,31/10/2027
ANT-200,ANT004,100 units,15/01/2028
ANT-200,ANT005,80,31/05/2028
LOR-10,LOR001,50,31/01/2027
LOR-10,LOR002,75 units,15/05/2027
LOR-10,LOR003,60,31/08/2027
LOR-10,LOR004,90 units,31/12/2027
LOR-10,LOR005,45,15/04/2028
RANI-150,RANI001,100,15/02/2027
RANI-150,RANI002,80 units,30/06/2027
RANI-150,RANI003,65,15/10/2027
RANI-150,RANI004,90 units,28/02/2028
RANI-150,RANI005,55,31/07/2028
PANTO-40,PANTO001,75,31/01/2027
PANTO-40,PANTO002,100 units,31/05/2027
PANTO-40,PANTO003,60,30/09/2027
PANTO-40,PANTO004,85 units,15/12/2027
PANTO-40,PANTO005,120,30/04/2028
SAL-100,SAL001,100,15/02/2027
SAL-100,SAL002,75 units,15/06/2027
SAL-100,SAL003,50,31/10/2027
SAL-100,SAL004,90 units,31/03/2028
B12-500,B12001,60,28/02/2027
B12-500,B12002,80 units,15/07/2027
B12-500,B12003,100,30/11/2027
B12-500,B12004,75 units,15/04/2028
CAL-500,CAL001,100,31/01/2027
CAL-500,CAL002,75 units,30/06/2027
CAL-500,CAL003,60,15/10/2027
CAL-500,CAL004,90 units,28/02/2028
ZINC-20,ZINC001,80,15/02/2027
ZINC-20,ZINC002,100 units,31/05/2027
ZINC-20,ZINC003,65,30/09/2027
ZINC-20,ZINC004,90 units,31/01/2028
IRON-100,IRON001,100,28/02/2027
IRON-100,IRON002,75 units,15/06/2027
IRON-100,IRON003,50,31/10/2027
IRON-100,IRON004,85 units,31/03/2028
COLD-10,COLD001,60,31/01/2027
COLD-10,COLD002,90 units,15/05/2027
COLD-10,COLD003,75,30/09/2027
COLD-10,COLD004,100 units,15/01/2028
